hadis;anjuran;larangan;informasi;kitab
"Semua perbuatan tergantung niatnya, dan (balasan) bagi tiap-tiap orang (tergantung) apa yang diniatkan; Barangsiapa niat hijrahnya karena dunia yang ingin digapainya atau karena seorang perempuan yang ingin dinikahinya, maka hijrahnya adalah kepada apa dia diniatkan";0;0;1;1
Terkadang datang kepadaku seperti suara gemerincing lonceng dan cara ini yang paling berat buatku, lalu terhenti sehingga aku dapat mengerti apa yang disampaikan. Dan terkadang datang Malaikat menyerupai seorang laki-laki lalu berbicara kepadaku maka aku ikuti apa yang diucapkannya. Aisyah berkata: Sungguh aku pernah melihat turunnya wahyu kepada Beliau pada suatu hari yang sangat dingin lalu terhenti, dan aku lihat dahi Beliau mengucurkan keringat.;0;0;1;1
"Bacalah? Beliau menjawab: Aku tidak bisa baca. Nabi menjelaskan: Maka Malaikat itu memegangku dan memelukku sangat kuat kemudian melepaskanku dan berkata lagi: Bacalah! Beliau menjawab: Aku tidak bisa baca. Maka Malaikat itu memegangku dan memelukku sangat kuat kemudian melepaskanku dan berkata lagi: Bacalah!. Beliau menjawab: Aku tidak bisa baca. Malaikat itu memegangku kembali dan memelukku untuk ketiga kalinya dengan sangat kuat lalu melepaskanku, dan berkata lagi: (Bacalah dengan (menyebut) nama Tuhanmu yang Menciptakan, Dia Telah menciptakan manusia dari segumpal darah. Bacalah, dan Tuhanmulah yang Maha Pemurah). Nabi kembali kepada keluarganya dengan membawa kalimat wahyu tadi dalam keadaan gelisah. Beliau menemui Khadijah binti Khawailidh seraya berkata: Selimuti aku, selimuti aku!. Beliau pun diselimuti hingga hilang ketakutannya. Lalu Beliau menceritakan peristiwa yang terjadi kepada Khadijah: Aku mengkhawatirkan diriku. Maka Khadijah berkata: Demi Allah, Allah tidak akan mencelakakanmu selamanya, karena engkau adalah orang yang menyambung silaturrahim. Khadijah kemudian mengajak Beliau untuk bertemu dengan Waroqoh bin Naufal bin Asad bin Abdul 'Uzza, putra paman Khadijah, yang beragama Nasrani di masa Jahiliyyah, dia juga menulis buku dalam bahasa Ibrani, juga menulis Kitab Injil dalam Bahasa Ibrani dengan izin Allah. Saat itu Waroqoh sudah tua dan matanya buta. Khadijah berkata: Wahai putra pamanku, dengarkanlah apa yang akan disampaikan oleh putra saudaramu ini. Waroqoh berkata: Wahai putra saudaraku, apa yang sudah kamu alami. Maka Rasulullah menuturkan peristiwa yang dialaminya. Waroqoh berkata: Ini adalah Namus, seperti yang pernah Allah turunkan kepada Musa. Duhai seandainya aku masih muda dan aku masih hidup saat kamu nanti diusir oleh kaummu. Rasulullah bertanya: Apakah aku akan diusir mereka? Waroqoh menjawab: Iya. Karena tidak ada satu orang pun yang datang dengan membawa seperti apa yang kamu bawa ini kecuali akan disakiti (dimusuhi). Seandainya aku ada saat kejadian itu, pasti aku akan menolongmu dengan sekemampuanku. Waroqoh tidak mengalami peristiwa yang diyakininya tersebut karena lebih dahulu meninggal dunia pada masa fatroh (kekosongan) wahyu. Ibnu Syihab berkata; telah mengabarkan kepadaku Abu Salamah bin Abdurrahman bahwa Jabir bin Abdullah Al Anshari bertutur tentang kekosongan wahyu, sebagaimana yang Rasulullah ceritakan: Ketika sedang berjalan aku mendengar suara dari langit, aku memandang ke arahnya dan ternyata Malaikat yang pernah datang kepadaku di gua Hiro, duduk di atas kursi antara langit dan bumi. Aku pun ketakutan dan pulang, dan berkata: Selimuti aku. Selimuti aku. Maka Allah Ta'ala menurunkan wahyu: (Wahai orang yang berselimut) sampai firman Allah (dan berhala-berhala tinggalkanlah). Sejak saat itu wahyu terus turun berkesinambungan. Hadits ini juga diriwayatkan oleh Abdullah bin Yusuf dan Abu Shalih juga oleh Hilal bin Raddad dari Az Zuhri. Dan Yunus berkata; dan Ma'mar menyepakati bahwa dia mendapatkannya dari Az Zuhri.";0;0;1;1
sangat kuat keinginannya untuk menghafalkan apa yang diturunkan (Al Qur'an) dan menggerak-gerakkan kedua bibir Beliau. Berkata Ibnu 'Abbas: aku akan menggerakkan kedua bibirku (untuk membacakannya) kepada kalian sebagaimana Rasulullah melakukannya kepadaku. Berkata Sa'id: Dan aku akan menggerakkan kedua bibirku (untuk membacakannya) kepada kalian sebagaimana aku melihat Ibnu 'Abbas melakukannya. Maka Nabi menggerakkan kedua bibirnya, Kemudian turunlah firman Allah Ta'ala: Janganlah kamu gerakkan lidahmu untuk (membaca) Al Quran karena hendak cepat-cepat (menguasai) nya. Sesungguhnya atas tanggungan Kamilah mengumpulkannya (di dadamu) dan (membuatmu pandai) membacanya. Maksudnya Allah mengumpulkannya di dalam dadamu (untuk dihafalkan) dan kemudian kamu membacanya: Apabila Kami telah selesai membacakannya, maka ikutilah bacaannya itu. Maksudnya: Dengarkanlah dan diamlah. Kemudian Allah Ta'ala berfirman: Kemudian, sesungguhnya atas tanggungan Kamilah penjelasannya. Maksudnya: Dan Kewajiban Kamilah untuk membacakannya Dan Rasulullah sejak saat itu bila Jibril 'Alaihis Salam datang kepadanya, Beliau mendengarkannya. Dan bila Jibril 'Alaihis Salam sudah pergi, maka Nabi membacakannya (kepada para sahabat) sebagaimana Jibril 'Alaihis Salam membacakannya kepada Beliau;0;1;1;1
manusia yang paling lembut terutama pada bulan Ramadlan ketika malaikat Jibril 'Alaihis Salam menemuinya, dan adalah Jibril 'Alaihis Salam mendatanginya setiap malam di bulan Ramadlan, dimana Jibril 'Alaihis Salam mengajarkan Al Qur'an. Sungguh Rasulullah jauh lebih lembut daripada angin yang berhembus.;0;0;1;1
"Dari Muhammad, hamba Allah dan Rasul-Nya untuk Heraclius. Penguasa Romawi, Keselamatan bagi siapa yang mengikuti petunjuk. Kemudian daripada itu, aku mengajakmu dengan seruan Islam; masuk Islamlah kamu, maka kamu akan selamat, Allah akan memberi pahala kepadamu dua kali. Namun jika kamu berpaling, maka kamu menanggung dosa rakyat kamu, dan: Hai ahli kitab, marilah (berpegang) kepada suatu kalimat (ketetapan) yang tidak ada perselisihan antara kami dan kamu, bahwa tidak kita sembah kecuali Allah dan tidak kita persekutukan dia dengan sesuatupun dan tidak (pula) sebagian kita menjadikan sebagian yang lain sebagai Rabb selain Allah. Jika mereka berpaling, maka katakanlah kepada mereka: Saksikanlah, bahwa kami adalah orang-orang yang berserah diri (kepada Allah). Abu Sufyan menuturkan: Setelah Heraclius menyampaikan apa yang dikatakannya dan selesai membaca surat tersebut, terjadilah hiruk pikuk dan suara-suara ribut, sehingga mengusir kami. Aku berkata kepada teman-temanku setelah kami diusir keluar; sungguh dia telah diajak kepada urusan Anak Abu Kabsyah. Heraclius mengkhawatirkan kerajaan Romawi.Pada masa itupun aku juga khawatir bahwa Muhammad akan berjaya, sampai akhirnya (perasaan itu hilang setelah) Allah memasukkan aku ke dalam Islam. Dan adalah Ibnu An Nazhur, seorang Pembesar Iliya' dan Heraclius adalah seorang uskup agama Nashrani, dia menceritakan bahwa pada suatu hari ketika Heraclius mengunjungi Iliya' dia sangat gelisah, berkata sebagian komandan perangnya: Sungguh kami mengingkari keadaanmu. Selanjutnya kata Ibnu Nazhhur, Heraclius adalah seorang ahli nujum yang selalu memperhatikan perjalanan bintang-bintang. Dia pernah menjawab pertanyaan para pendeta yang bertanya kepadanya; Pada suatu malam ketika saya mengamati perjalanan bintang-bintang, saya melihat raja Khitan telah lahir, siapakah di antara ummat ini yang di khitan? Jawab para pendeta; Yang berkhitan hanyalah orang-orang Yahudi, janganlah anda risau karena orang-orang Yahudi itu. Perintahkan saja keseluruh negeri dalam kerajaan anda, supaya orang-orang Yahudi di negeri tersebut di bunuh. Ketika itu di hadapakan kepada Heraclius seorang utusan raja Bani Ghasssan untuk menceritakan perihal Rasulullah , setelah orang itu selesai bercerita, lalu Heraclius memerintahkan agar dia diperiksa, apakah dia berkhitan ataukah tidak. Seusai di periksa, ternyata memang dia berkhitam. Lalu di beritahukan orang kepada Heraclius. Heraclius bertanya kepada orang tersebut tentang orang-orang Arab yang lainnya, di khitankah mereka ataukah tidak? Dia menjawab; Orang Arab itu di khitan semuanya. Heraclius berkata; 'inilah raja ummat, sesungguhnya dia telah terlahir. Kemudian heraclisu berkirim surat kepada seorang sahabatnya di Roma yang ilmunya setarf dengan Heraclisu (untuk menceritakan perihal kelahiran Nabi Muhammad ). Sementara itu, ia meneruskan perjalanannya ke negeri Himsha, tetapi sebelum tiba di Himsha, balasan surat dari sahabatnya itu telah tiba terlebih dahulu. Sahabatnya itu menyetujui pendapat Heraclius bahwa Muhammad telah lahir dan bahwa beliau memang seorang Nabi. Heraclius lalu mengundang para pembesar Roma supaya datang ke tempatnya di Himsha, setelah semuanya hadir dalam majlisnya, Heraclius memerintahkan supaya mengunci semua pintu. Kemudian dia berkata; 'Wahai bangsa rum, maukah anda semua beroleh kemenangan dan kemajuan yang gilang gemilang, sedangkan kerajaan tetap utuh di tangan kita? Kalau mau, akuilah Muhammad sebagai Nabi!. Mendengar ucapan itu, mereka lari bagaikan keledai liar, padahal semua pintu telah terkunci. Melihat keadaan yang demikian, Heraclius jadi putus harapan yang mereka akan beriman (percaya kepada kenabian Muhammad). Lalu di perintahkannya semuanya untuk kembali ke tempatnya masing-masing seraya berkata; Sesungguhnya saya mengucapkan perkataan saya tadi hanyalah sekedar menguji keteguhan hati anda semua. Kini saya telah melihat keteguhan itu. Lalu mereka sujud di hadapan Heraclius dan mereka senang kepadanya. Demikianlah akhir kisah Heraclius. Telah di riwayatkan oleh Shalih bin Kaisan dan Yunus dan Ma'mar dari Az Zuhri.";1;1;1;1
"Islam dibangun diatas lima (landasan); persaksian tidak ada ilah selain Allah dan sesungguhnya Muhammad utusan Allah, mendirikan shalat, menunaikan zakat, haji dan puasa Ramadlan.";0;0;1;2
Iman memiliki lebih dari enam puluh cabang, dan malu adalah bagian dari iman.;0;0;1;2
"Seorang muslim adalah orang yang Kaum Muslimin selamat dari lisan dan tangannya, dan seorang Muhajir adalah orang yang meninggalkan apa yang dilarang oleh Allah Abu Abdullah berkata; dan Abu Mu'awiyyah berkata; Telah menceritakan kepada kami Daud, dia adalah anak Ibnu Hind, dari 'Amir berkata; aku mendengar Abdullah, maksudnya ibnu 'Amru, dari Nabi Dan berkata Abdul A'laa dari Daud dari 'Amir dari Abdullah dari Nabi";0;1;1;2
Siapa yang Kaum Muslimin selamat dari lisan dan tangannya.;0;0;1;2
Kamu memberi makan, mengucapkan salam kepada orang yang kamu kenal dan yang tidak kamu kenal.;1;0;1;2
Tidaklah beriman seseorang dari kalian sehingga dia mencintai untuk saudaranya sebagaimana dia mencintai untuk dirinya sendiri.;0;0;1;2
tidaklah beriman seorang dari kalian hingga aku lebih dicintainya daripada orang tuanya dan anaknya.;0;0;1;2
Tidaklah beriman seorang dari kalian hingga aku lebih dicintainya daripada orang tuanya, anaknya dan dari manusia seluruhnya.;0;0;1;2
Tiga perkara yang apabila ada pada diri seseorang, ia akan mendapatkan manisnya iman: Dijadikannya Allah dan Rasul-Nya lebih dicintainya dari selain keduanya. Jika ia mencintai seseorang, dia tidak mencintainya kecuali karena Allah. Dan dia benci kembali kepada kekufuran seperti dia benci bila dilempar ke neraka;0;0;1;2
Tanda iman adalah mencintai (kaum) Anshar dan tanda nifaq adalah membenci (kaum) Anshar.;0;0;1;2
Berbai'atlah kalian kepadaku untuk tidak menyekutukan Allah dengan sesuatu apapun, tidak mencuri, tidak berzina, tidak membunuh anak-anak kalian, tidak membuat kebohongan yang kalian ada-adakan antara tangan dan kaki kalian, tidak bermaksiat dalam perkara yang ma'ruf. Barangsiapa diantara kalian yang memenuhinya maka pahalanya ada pada Allah dan barangsiapa yang melanggar dari hal tersebut lalu Allah menghukumnya di dunia maka itu adalah kafarat baginya, dan barangsiapa yang melanggar dari hal-hal tersebut kemudian Allah menutupinya (tidak menghukumnya di dunia) maka urusannya kembali kepada Allah, jika Dia mau, dimaafkannya atau disiksanya. Maka kami membai'at Beliau untuk perkara-perkara tersebut.;1;1;0;2
Hampir saja terjadi (suatu zaman) harta seorang muslim yang paling baik adalah kambing yang digembalakannya di puncak gunung dan tempat-tempat terpencil, dia pergi menghindar dengan membawa agamanya disebabkan takut terkena fitnah.;0;0;1;2
Sesungguhnya yang paling taqwa dan paling mengerti tentang Allah diantara kalian adalah aku.;0;0;1;2
Tiga (perkara) yang apabila ada pada diri seseorang, ia akan mendapatkan manisnya iman: Allah dan Rasul-Nya lebih dicintainya dari selain keduanya. Dan siapa yang bila mencintai seseorang, dia tidak mencintai orang itu kecuali karena Allah 'azza wajalla. Dan siapa yang benci kembali kepada kekufuran seperti dia benci bila dilempar ke neraka.;0;0;1;2
Keluarkan dari neraka siapa yang didalam hatinya ada iman sebesar biji sawi. Maka mereka keluar dari neraka dalam kondisi yang telah menghitam gosong kemudian dimasukkan kedalam sungai hidup atau kehidupan. -Malik ragu. - Lalu mereka tumbuh bersemi seperti tumbuhnya benih di tepi aliran sungai. Tidakkah kamu perhatikan bagaimana dia keluar dengan warna kekuningan.Berkata Wuhaib Telah menceritakan kepada kami 'Amru: Kehidupan. Dan berkata: Sedikit dari kebaikan.;0;0;1;2
Ketika aku tidur, aku bermimpi melihat orang-orang dihadapkan kepadaku. Mereka mengenakan baju, diantaranya ada yang sampai kepada buah dada dan ada yang kurang dari itu. Dan dihadapkan pula kepadaku Umar bin Al Khaththab dan dia mengenakan baju dan menyeretnya. Para sahabat bertanya: Apa maksudnya hal demikian menurut engkau, ya Rasulullah? Beliau menjawab: Ad-Din (agama) .;0;0;1;2
Tinggalkanlah dia, karena sesungguhnya malu adalah bagian dari iman.;0;1;1;2
"Aku diperintahkan untuk memerangi manusia hingga mereka bersaksi; tidak ada ilah kecuali Allah dan bahwa sesungguhnya Muhammad adalah utusan Allah, menegakkan shalat, menunaikan zakat. Jika mereka lakukan yang demikian maka mereka telah memelihara darah dan harta mereka dariku kecuali dengan haq Islam dan perhitungan mereka ada pada Allah";1;0;1;2
Iman kepada Allah dan Rasul-Nya. Lalu ditanya lagi: Lalu apa? Beliau menjawab: Al Jihad fi sabilillah (berperang di jalan Allah). Lalu ditanya lagi: Kemudian apa lagi? Jawab Beliau : haji mabrur.;0;0;1;2
aku juga akan memberi kepada orang tersebut. Namun aku lebih suka memberi kepada yang lainnya dari pada memberi kepada dia, karena aku takut kalau Allah akan mencampakkannya ke neraka. Yunus, Shalih, Ma'mar dan keponakan Az Zuhri, telah meriwayatkan dari Az Zuhri;0;0;1;2
Kamu memberi makan dan memberi salam kepada orang yang kamu kenal dan yang tidak kamu kenal.;0;0;1;2
Aku diperlihatkan neraka, ternyata kebanyakan penghuninya adalah wanita. Karena mereka sering mengingkari. Ditanyakan: Apakah mereka mengingkari Allah? Beliau bersabda: Mereka mengingkari pemberian suami, mengingkari kebaikan. Seandainya kamu berbuat baik terhadap seseorang dari mereka sepanjang masa, lalu dia melihat satu saja kejelekan darimu maka dia akan berkata: 'aku belum pernah melihat kebaikan sedikitpun darimu.;0;0;1;2
apakah kamu menghina ibunya? Sesungguhnya kamu masih memiliki (sifat) jahiliyyah. Saudara-saudara kalian adalah tanggungan kalian, Allah telah menjadikan mereka di bawah tangan kalian. Maka siapa yang saudaranya berada di bawah tangannya (tanggungannya) maka jika dia makan berilah makanan seperti yang dia makan, bila dia berpakaian berilah seperti yang dia pakai, janganlah kalian membebani mereka sesuatu yang di luar batas kemampuan mereka. Jika kalian membebani mereka, maka bantulah mereka.;1;1;0;2
Jika dua orang muslim saling bertemu (untuk berkelahi) dengan menghunus pedang masing-masing, maka yang terbunuh dan membunuh masuk neraka. aku pun bertanya: Wahai Rasulullah, ini bagi yang membunuh, tapi bagaimana dengan yang terbunuh? Maka Nabi menjawab: Dia juga sebelumnya sangat ingin untuk membunuh temannya.;0;0;1;2
ketika turun ayat: Orang-orang beriman dan tidak mencampur adukkan iman mereka dengan kezhaliman para sahabat Rasulullah bertanya: Siapakah diantara kami yang tidak berbuat zhalim? Maka Allah 'azza wajalla menurunkan (firman-Nya): Sesungguhnya kesyirikan adalah kezhaliman yang besar. (QS. Luqman: 13);0;0;1;2
"Tanda-tanda munafiq ada tiga; jika berbicara dusta, jika berjanji mengingkari dan jika diberi amanat dia khianat.";0;0;1;2
Empat hal bila ada pada seseorang maka dia adalah seorang munafiq tulen, dan barangsiapa yang terdapat pada dirinya satu sifat dari empat hal tersebut maka pada dirinya terdapat sifat nifaq hingga dia meninggalkannya. Yaitu, jika diberi amanat dia khianat, jika berbicara dusta, jika berjanji mengingkari dan jika berseteru curang. Hadits ini diriwayatkan pula oleh Syu'bah dari Al A'masy.;0;0;1;2
Barangsiapa menegakkan lailatul qodar karena iman dan mengharap pahala, maka diampuni dosa-dosanya yang telah lalu.;1;0;1;2
