hadis;anjuran;larangan;informasi;kitab
"Dari Muhammad, hamba Allah dan Rasul-Nya untuk Heraclius. Penguasa Romawi, Keselamatan bagi siapa yang mengikuti petunjuk. Kemudian daripada itu, aku mengajakmu dengan seruan Islam; masuk Islamlah kamu, maka kamu akan selamat, Allah akan memberi pahala kepadamu dua kali. Namun jika kamu berpaling, maka kamu menanggung dosa rakyat kamu, dan: Hai ahli kitab, marilah (berpegang) kepada suatu kalimat (ketetapan) yang tidak ada perselisihan antara kami dan kamu, bahwa tidak kita sembah kecuali Allah dan tidak kita persekutukan dia dengan sesuatupun dan tidak (pula) sebagian kita menjadikan sebagian yang lain sebagai Rabb selain Allah. Jika mereka berpaling, maka katakanlah kepada mereka: Saksikanlah, bahwa kami adalah orang-orang yang berserah diri (kepada Allah). Abu Sufyan menuturkan: Setelah Heraclius menyampaikan apa yang dikatakannya dan selesai membaca surat tersebut, terjadilah hiruk pikuk dan suara-suara ribut, sehingga mengusir kami. Aku berkata kepada teman-temanku setelah kami diusir keluar; sungguh dia telah diajak kepada urusan Anak Abu Kabsyah. Heraclius mengkhawatirkan kerajaan Romawi.Pada masa itupun aku juga khawatir bahwa Muhammad akan berjaya, sampai akhirnya (perasaan itu hilang setelah) Allah memasukkan aku ke dalam Islam. Dan adalah Ibnu An Nazhur, seorang Pembesar Iliya' dan Heraclius adalah seorang uskup agama Nashrani, dia menceritakan bahwa pada suatu hari ketika Heraclius mengunjungi Iliya' dia sangat gelisah, berkata sebagian komandan perangnya: Sungguh kami mengingkari keadaanmu. Selanjutnya kata Ibnu Nazhhur, Heraclius adalah seorang ahli nujum yang selalu memperhatikan perjalanan bintang-bintang. Dia pernah menjawab pertanyaan para pendeta yang bertanya kepadanya; Pada suatu malam ketika saya mengamati perjalanan bintang-bintang, saya melihat raja Khitan telah lahir, siapakah di antara ummat ini yang di khitan? Jawab para pendeta; Yang berkhitan hanyalah orang-orang Yahudi, janganlah anda risau karena orang-orang Yahudi itu. Perintahkan saja keseluruh negeri dalam kerajaan anda, supaya orang-orang Yahudi di negeri tersebut di bunuh. Ketika itu di hadapakan kepada Heraclius seorang utusan raja Bani Ghasssan untuk menceritakan perihal Rasulullah , setelah orang itu selesai bercerita, lalu Heraclius memerintahkan agar dia diperiksa, apakah dia berkhitan ataukah tidak. Seusai di periksa, ternyata memang dia berkhitam. Lalu di beritahukan orang kepada Heraclius. Heraclius bertanya kepada orang tersebut tentang orang-orang Arab yang lainnya, di khitankah mereka ataukah tidak? Dia menjawab; Orang Arab itu di khitan semuanya. Heraclius berkata; 'inilah raja ummat, sesungguhnya dia telah terlahir. Kemudian heraclisu berkirim surat kepada seorang sahabatnya di Roma yang ilmunya setarf dengan Heraclisu (untuk menceritakan perihal kelahiran Nabi Muhammad ). Sementara itu, ia meneruskan perjalanannya ke negeri Himsha, tetapi sebelum tiba di Himsha, balasan surat dari sahabatnya itu telah tiba terlebih dahulu. Sahabatnya itu menyetujui pendapat Heraclius bahwa Muhammad telah lahir dan bahwa beliau memang seorang Nabi. Heraclius lalu mengundang para pembesar Roma supaya datang ke tempatnya di Himsha, setelah semuanya hadir dalam majlisnya, Heraclius memerintahkan supaya mengunci semua pintu. Kemudian dia berkata; 'Wahai bangsa rum, maukah anda semua beroleh kemenangan dan kemajuan yang gilang gemilang, sedangkan kerajaan tetap utuh di tangan kita? Kalau mau, akuilah Muhammad sebagai Nabi!. Mendengar ucapan itu, mereka lari bagaikan keledai liar, padahal semua pintu telah terkunci. Melihat keadaan yang demikian, Heraclius jadi putus harapan yang mereka akan beriman (percaya kepada kenabian Muhammad). Lalu di perintahkannya semuanya untuk kembali ke tempatnya masing-masing seraya berkata; Sesungguhnya saya mengucapkan perkataan saya tadi hanyalah sekedar menguji keteguhan hati anda semua. Kini saya telah melihat keteguhan itu. Lalu mereka sujud di hadapan Heraclius dan mereka senang kepadanya. Demikianlah akhir kisah Heraclius. Telah di riwayatkan oleh Shalih bin Kaisan dan Yunus dan Ma'mar dari Az Zuhri.";1;1;1;1
"Bacalah? Beliau menjawab: Aku tidak bisa baca. Nabi menjelaskan: Maka Malaikat itu memegangku dan memelukku sangat kuat kemudian melepaskanku dan berkata lagi: Bacalah! Beliau menjawab: Aku tidak bisa baca. Maka Malaikat itu memegangku dan memelukku sangat kuat kemudian melepaskanku dan berkata lagi: Bacalah!. Beliau menjawab: Aku tidak bisa baca. Malaikat itu memegangku kembali dan memelukku untuk ketiga kalinya dengan sangat kuat lalu melepaskanku, dan berkata lagi: (Bacalah dengan (menyebut) nama Tuhanmu yang Menciptakan, Dia Telah menciptakan manusia dari segumpal darah. Bacalah, dan Tuhanmulah yang Maha Pemurah). Nabi kembali kepada keluarganya dengan membawa kalimat wahyu tadi dalam keadaan gelisah. Beliau menemui Khadijah binti Khawailidh seraya berkata: Selimuti aku, selimuti aku!. Beliau pun diselimuti hingga hilang ketakutannya. Lalu Beliau menceritakan peristiwa yang terjadi kepada Khadijah: Aku mengkhawatirkan diriku. Maka Khadijah berkata: Demi Allah, Allah tidak akan mencelakakanmu selamanya, karena engkau adalah orang yang menyambung silaturrahim. Khadijah kemudian mengajak Beliau untuk bertemu dengan Waroqoh bin Naufal bin Asad bin Abdul 'Uzza, putra paman Khadijah, yang beragama Nasrani di masa Jahiliyyah, dia juga menulis buku dalam bahasa Ibrani, juga menulis Kitab Injil dalam Bahasa Ibrani dengan izin Allah. Saat itu Waroqoh sudah tua dan matanya buta. Khadijah berkata: Wahai putra pamanku, dengarkanlah apa yang akan disampaikan oleh putra saudaramu ini. Waroqoh berkata: Wahai putra saudaraku, apa yang sudah kamu alami. Maka Rasulullah menuturkan peristiwa yang dialaminya. Waroqoh berkata: Ini adalah Namus, seperti yang pernah Allah turunkan kepada Musa. Duhai seandainya aku masih muda dan aku masih hidup saat kamu nanti diusir oleh kaummu. Rasulullah bertanya: Apakah aku akan diusir mereka? Waroqoh menjawab: Iya. Karena tidak ada satu orang pun yang datang dengan membawa seperti apa yang kamu bawa ini kecuali akan disakiti (dimusuhi). Seandainya aku ada saat kejadian itu, pasti aku akan menolongmu dengan sekemampuanku. Waroqoh tidak mengalami peristiwa yang diyakininya tersebut karena lebih dahulu meninggal dunia pada masa fatroh (kekosongan) wahyu. Ibnu Syihab berkata; telah mengabarkan kepadaku Abu Salamah bin Abdurrahman bahwa Jabir bin Abdullah Al Anshari bertutur tentang kekosongan wahyu, sebagaimana yang Rasulullah ceritakan: Ketika sedang berjalan aku mendengar suara dari langit, aku memandang ke arahnya dan ternyata Malaikat yang pernah datang kepadaku di gua Hiro, duduk di atas kursi antara langit dan bumi. Aku pun ketakutan dan pulang, dan berkata: Selimuti aku. Selimuti aku. Maka Allah Ta'ala menurunkan wahyu: (Wahai orang yang berselimut) sampai firman Allah (dan berhala-berhala tinggalkanlah). Sejak saat itu wahyu terus turun berkesinambungan. Hadits ini juga diriwayatkan oleh Abdullah bin Yusuf dan Abu Shalih juga oleh Hilal bin Raddad dari Az Zuhri. Dan Yunus berkata; dan Ma'mar menyepakati bahwa dia mendapatkannya dari Az Zuhri.";0;0;1;1
sangat kuat keinginannya untuk menghafalkan apa yang diturunkan (Al Qur'an) dan menggerak-gerakkan kedua bibir Beliau. Berkata Ibnu 'Abbas: aku akan menggerakkan kedua bibirku (untuk membacakannya) kepada kalian sebagaimana Rasulullah melakukannya kepadaku. Berkata Sa'id: Dan aku akan menggerakkan kedua bibirku (untuk membacakannya) kepada kalian sebagaimana aku melihat Ibnu 'Abbas melakukannya. Maka Nabi menggerakkan kedua bibirnya, Kemudian turunlah firman Allah Ta'ala: Janganlah kamu gerakkan lidahmu untuk (membaca) Al Quran karena hendak cepat-cepat (menguasai) nya. Sesungguhnya atas tanggungan Kamilah mengumpulkannya (di dadamu) dan (membuatmu pandai) membacanya. Maksudnya Allah mengumpulkannya di dalam dadamu (untuk dihafalkan) dan kemudian kamu membacanya: Apabila Kami telah selesai membacakannya, maka ikutilah bacaannya itu. Maksudnya: Dengarkanlah dan diamlah. Kemudian Allah Ta'ala berfirman: Kemudian, sesungguhnya atas tanggungan Kamilah penjelasannya. Maksudnya: Dan Kewajiban Kamilah untuk membacakannya Dan Rasulullah sejak saat itu bila Jibril 'Alaihis Salam datang kepadanya, Beliau mendengarkannya. Dan bila Jibril 'Alaihis Salam sudah pergi, maka Nabi membacakannya (kepada para sahabat) sebagaimana Jibril 'Alaihis Salam membacakannya kepada Beliau;0;1;1;1
Terkadang datang kepadaku seperti suara gemerincing lonceng dan cara ini yang paling berat buatku, lalu terhenti sehingga aku dapat mengerti apa yang disampaikan. Dan terkadang datang Malaikat menyerupai seorang laki-laki lalu berbicara kepadaku maka aku ikuti apa yang diucapkannya. Aisyah berkata: Sungguh aku pernah melihat turunnya wahyu kepada Beliau pada suatu hari yang sangat dingin lalu terhenti, dan aku lihat dahi Beliau mengucurkan keringat.;0;0;1;1
manusia yang paling lembut terutama pada bulan Ramadlan ketika malaikat Jibril 'Alaihis Salam menemuinya, dan adalah Jibril 'Alaihis Salam mendatanginya setiap malam di bulan Ramadlan, dimana Jibril 'Alaihis Salam mengajarkan Al Qur'an. Sungguh Rasulullah jauh lebih lembut daripada angin yang berhembus.;0;0;1;1
"Semua perbuatan tergantung niatnya, dan (balasan) bagi tiap-tiap orang (tergantung) apa yang diniatkan; Barangsiapa niat hijrahnya karena dunia yang ingin digapainya atau karena seorang perempuan yang ingin dinikahinya, maka hijrahnya adalah kepada apa dia diniatkan";0;0;1;1
"Iman adalah kamu beriman kepada Allah, malaikat-malaikat-Nya, kitab-kitab-Nya, pertemuan dengan-Nya, Rasul-Rasul-Nya, dan kamu beriman kepada hari berbangkit. (Jibril 'Alaihis salam) berkata: Apakah Islam itu? Jawab Nabi : Islam adalah kamu menyembah Allah dan tidak menyekutukannya dengan suatu apapun, kamu dirikan shalat, kamu tunaikan zakat yang diwajibkan, dan berpuasa di bulan Ramadlan. (Jibril 'Alaihis salam) berkata: Apakah ihsan itu? Nabi menjawab: Kamu menyembah Allah seolah-olah melihat-Nya dan bila kamu tidak melihat-Nya sesungguhnya Dia melihatmu. (Jibril 'Alaihis salam) berkata lagi: Kapan terjadinya hari kiamat? Nabi menjawab: Yang ditanya tentang itu tidak lebih tahu dari yang bertanya. Tapi aku akan terangkan tanda-tandanya; (yaitu); jika seorang budak telah melahirkan tuannya, jika para penggembala unta yang berkulit hitam berlomba-lomba membangun gedung-gedung selama lima masa, yang tidak diketahui lamanya kecuali oleh Allah. Kemudian Nabi membaca: Sesungguhnya hanya pada Allah pengetahuan tentang hari kiamat (QS. Luqman: 34). Setelah itu Jibril 'Alaihis salam pergi, kemudian Nabi berkata; hadapkan dia ke sini. Tetapi para sahabat tidak melihat sesuatupun, maka Nabi bersabda; Dia adalah Malaikat Jibril datang kepada manusia untuk mengajarkan agama mereka. Abu Abdullah berkata: Semua hal yang diterangkan Beliau dijadikan sebagai iman.";0;0;1;2
shalat menghadap Baitul Maqdis selama enam belas bulan atau tujuh belas bulan, dan Beliau sangat senang sekali kalau shalat menghadap Baitullah (Ka'bah). Shalat yang dilakukan Beliau pertama kali (menghadap Ka'bah) itu adalah shalat 'ashar dan orang-orang juga ikut shalat bersama Beliau. Pada suatu hari sahabat yang ikut shalat bersama Nabi pergi melewati orang-orang di Masjid lain saat mereka sedang ruku', maka dia berkata: Aku bersaksi kepada Allah bahwa aku ikut shalat bersama Rasulullah menghadap Makkah, maka orang-orang yang sedang (ruku') tersebut berputar menghadap Baitullah dan orang-orang Yahudi dan Ahlul Kitab menjadi heran, sebab sebelumnya Nabi shalat menghadap Baitul Maqdis. Ketika melihat Nabi menghadapkan wajahnya ke Baitullah mereka mengingkari hal ini. Berkata Zuhair Telah menceritakan kepada kami Abu Ishaq dari Al Barro`, dalam haditsnya ini menerangkan tentang (hukum) seseorang yang meninggal dunia pada saat arah qiblat belum dialihkan dan juga banyak orang-orang yang terbunuh pada masa itu?, kami tidak tahu apa yang harus kami sikapi tentang mereka hingga akhirnya Allah Ta'ala menurunkan firman-Nya: Dan Allah tidaklah akan menyia-nyiakan iman kalian. (QS. Al Baqoroh: 143);0;0;1;2
Yang halal sudah jelas dan yang haram juga sudah jelas. Namun diantara keduanya ada perkara syubhat (samar) yang tidak diketahui oleh banyak orang. Maka barangsiapa yang menjauhi diri dari yang syubhat berarti telah memelihara agamanya dan kehormatannya. Dan barangsiapa yang sampai jatuh (mengerjakan) pada perkara-perkara syubhat, sungguh dia seperti seorang penggembala yang menggembalakan ternaknya di pinggir jurang yang dikhawatirkan akan jatuh ke dalamnya. Ketahuilah bahwa setiap raja memiliki batasan, dan ketahuilah bahwa batasan larangan Allah di bumi-Nya adalah apa-apa yang diharamkan-Nya. Dan ketahuilah pada setiap tubuh ada segumpal darah yang apabila baik maka baiklah tubuh tersebut dan apabila rusak maka rusaklah tubuh tersebut. Ketahuilah, ia adalah hati.;0;1;1;2
memerintahkan mereka dengan empat hal dan melarang dari empat hal, memerintahkan mereka untuk beriman kepada Allah satu-satunya, kemudian bertanya: Tahukah kalian apa arti beriman kepada Allah satu-satunya? Mereka menjawab: Allah dan Rasul-Nya yang lebih mengetahui. Nabi menjelaskan: Persaksian tidak ada ilah kecuali Allah dan bahwa Muhammad adalah utusan Allah, menegakkan shalat, menunaikan zakat, berpuasa pada bulan Ramadlan dan mengeluarkan seperlima dari harta rampasan perang. Dan Nabi melarang mereka dari empat perkara, yaitu janganlah kalian meminum sesuatu dari al hantam, ad Dubbaa`, an naqir dan al Muzaffaat. Atau Beliau menyebut muqoyyir (bukan naqir). Nabi bersabda: jagalah semuanya dan beritahukanlah kepada orang-orang di kampung kalian.;1;1;1;2
